"Term","Coefficient estimate","Coefficient std. error","t value","P(>|t|)"
"Intercept",0.41,0.06,6.76,0
"spider treatment",0.19,0.11,1.76,0.081
"spider lived",0.26,0.15,1.76,0.083
"spider active",-0.49,0.15,-3.2,0.002
