"Term","Coefficient estimate","Coefficient std. error","t value","P(>|t|)"
"intercept",0.6,0.05,12.68,3.30207372941867e-21
"Met52",-0.29,0.06,-4.55,1.78102268783894e-05
"spider",-0.16,0.07,-2.3,0.0238866532024933
"Met52*spider",0.11,0.09,1.24,0.21750646982246
